'6129303755625519098,88,炒作running man的
'6129308069173581831,14,鹿晗！
'6129308452710333442,45,有篮光
'6129309046060693186,60,好好看
'6129310214288662061,4,太搞笑了这期！我眼泪都出来了
'6129311321542972172,33,蓝光
'6129311976868360520,1,郑凯光头
'6129312359141243686,15,爱我待时而动
'6129313599809197718,7,说林允演轻衣的眼睛没瞎吧  那是林允儿 韩国的
'6129325671765694897,1,我是吕新星，偶来了
'6129346762354799704,38,爱你
'6129349611373539049,92,我喜欢邓超
'6129394391762514873,54,没脑子啊都不会自己想的吗
'6129413061726523675,2,好表的感觉
'6129414147673758369,28,谁的孩子。
'6129417098358233017,49,这就是有贾玲的理由
'6129424051075618027,7,这期请林允，难道节目组没钱了？
'6129428502992568001,1,林允离邵峰远一点好么 他不适合你
'6129431039599783988,2,8点谁在
'6129437752322241823,1,哎！
'6129440305407488829,27,昨天睡得早，没在前排，不知道会不会变色
'6129443969342972333,19,好可爱，这声音
'6129444187379685472,20,超
